Cliente_Inativo,Sexo,Aposentado,Casado,Dependentes,Meses_Contrato,Assinatura_Telefone,Assinatura_MultiTelefone,Assinatura_Internet,Assinatura_Seguro_online,Assinatura_Backup,Assinatura_Seguro_dispositivo,Assinatura_Suporte_tecnico,Assinatura_TV,Assinatura_Filmes,Tipo_Contrato,Fatura_Online,Forma_Pagamento,Valor_Mensal,Valor_Diario,Valor_Anual
0,0,0,0,0,71,0,1,1,0,0,1,1,1,1,2,0,2,95.75,3.191666666666667,6849.4
0,0,0,0,0,34,1,2,0,1,1,1,0,0,1,0,1,0,61.25,2.0416666666666665,1993.2
0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,72.1,2.4033333333333333,72.1
1,1,1,1,1,45,0,0,0,1,1,1,1,1,1,0,1,2,62.7,2.0900000000000003,2791.5
1,1,1,1,1,1,1,2,0,0,1,0,1,1,0,1,0,1,25.1,0.8366666666666667,25.1
0,0,1,0,1,50,0,1,2,2,2,2,2,2,2,0,1,1,25.2,0.84,1306.3
1,0,0,0,1,13,0,1,1,0,0,1,1,0,0,1,1,1,94.1,3.1366666666666663,1215.6
0,0,0,0,0,23,0,1,1,0,1,0,1,0,0,1,0,1,83.75,2.7916666666666665,1849.95
0,0,0,1,1,3,0,0,2,2,2,2,2,2,2,1,1,0,19.85,0.6616666666666667,57.2
1,0,0,0,0,4,0,0,2,2,2,2,2,2,2,1,1,0,20.35,0.6783333333333333,76.35
1,0,0,0,0,1,1,2,0,1,1,0,1,1,0,1,1,3,30.5,1.0166666666666666,30.5
0,0,0,0,0,55,0,0,1,0,0,1,0,0,1,0,0,3,103.7,3.4566666666666666,5656.75
0,1,0,0,0,54,0,0,2,2,2,2,2,2,2,2,1,2,20.4,0.6799999999999999,1090.6
0,1,0,1,1,26,0,0,2,2,2,2,2,2,2,0,0,3,19.6,0.6533333333333334,471.85
0,0,0,0,0,69,0,0,2,2,2,2,2,2,2,2,1,3,19.7,0.6566666666666666,1396.9
0,1,0,0,0,37,0,0,1,0,1,0,1,0,1,0,1,2,91.2,3.04,3247.55
0,0,0,0,1,49,0,0,2,2,2,2,2,2,2,0,1,3,20.45,0.6816666666666666,900.9
0,1,0,0,1,66,0,1,1,1,0,1,0,0,1,0,1,3,115.8,3.86,7942.15
0,0,0,1,1,67,0,0,2,2,2,2,2,2,2,0,1,1,20.55,0.685,1343.4
0,1,0,0,0,20,1,2,0,1,1,1,0,1,0,2,0,2,39.4,1.3133333333333332,825.4
0,0,0,1,0,43,0,1,2,2,2,2,2,2,2,2,0,1,25.1,0.8366666666666667,1070.15
0,0,0,0,1,55,0,1,1,1,1,0,1,0,0,1,0,3,89.8,2.993333333333333,4959.6
0,0,0,0,1,59,0,1,1,1,0,0,1,0,0,1,0,1,94.75,3.158333333333333,5597.65
0,0,0,0,0,12,0,0,2,2,2,2,2,2,2,2,1,3,20.3,0.6766666666666666,224.5
0,1,0,0,0,27,0,1,1,0,1,0,1,1,0,1,0,3,75.75,2.525,1929.0
1,1,1,1,1,2,0,0,0,1,1,0,1,1,0,1,0,1,49.25,1.6416666666666666,91.1
0,0,0,1,1,27,0,0,0,0,0,1,0,0,1,0,1,0,78.2,2.606666666666667,2078.95
0,1,0,0,0,25,0,1,2,2,2,2,2,2,2,2,1,2,25.5,0.85,630.6
0,1,0,0,0,25,0,0,0,1,0,1,1,1,0,0,0,3,61.6,2.0533333333333332,1611.0
0,1,0,1,0,29,1,2,0,1,0,1,0,1,0,1,0,0,45.0,1.5,1242.45
0,1,0,0,1,72,0,1,0,0,0,1,0,0,1,2,0,3,85.15,2.8383333333333334,6316.2
0,0,0,1,1,14,0,0,0,0,0,0,1,1,0,0,1,2,51.45,1.715,727.85
0,0,0,1,1,35,0,0,1,0,1,1,0,0,1,0,0,1,99.25,3.308333333333333,3532.0
0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,44.3,1.4766666666666666,44.3
0,1,0,1,1,29,0,0,1,0,1,0,0,0,1,1,0,1,94.2,3.14,2607.6
0,1,0,1,1,64,0,1,0,1,0,1,0,0,0,0,1,1,81.25,2.7083333333333335,5567.55
0,0,0,0,0,39,0,1,1,0,1,0,0,0,1,1,0,2,99.95,3.3316666666666666,3767.4
0,0,1,1,1,40,0,0,1,0,1,0,1,0,1,1,0,1,91.55,3.0516666666666667,3673.6
1,1,0,1,1,40,0,1,1,0,0,1,1,0,1,1,0,2,104.5,3.4833333333333334,4036.85
1,0,1,1,1,11,0,0,1,0,0,0,1,0,1,1,0,1,95.0,3.1666666666666665,1120.3
0,0,0,0,1,6,0,1,0,0,1,0,1,1,0,1,1,1,50.35,1.6783333333333335,314.55
0,1,0,1,1,30,0,1,0,1,1,0,1,1,1,1,0,0,64.5,2.15,1888.45
0,1,0,1,1,27,0,0,2,2,2,2,2,2,2,1,0,1,19.4,0.6466666666666666,529.8
0,1,1,0,1,70,0,1,1,0,0,1,1,0,1,0,0,1,104.8,3.493333333333333,7308.95
0,0,0,0,1,57,0,1,1,0,0,1,0,0,1,0,0,3,109.4,3.646666666666667,6252.7
0,1,0,0,1,58,0,0,0,0,1,1,1,1,0,0,1,2,50.3,1.6766666666666665,2878.55
0,1,0,1,1,16,0,1,0,0,0,1,1,1,1,1,0,3,71.4,2.3800000000000003,1212.1
0,0,0,0,1,69,0,1,1,1,0,1,0,0,1,2,0,1,116.0,3.8666666666666667,8182.85
1,1,0,1,1,1,0,0,2,2,2,2,2,2,2,1,0,1,19.85,0.6616666666666667,19.85
1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,99.75,3.325,99.75
0,1,1,0,0,32,0,0,1,0,0,0,1,0,1,1,0,0,93.95,3.131666666666667,2861.45
0,1,0,0,0,16,0,1,1,0,1,1,1,0,0,1,0,3,90.8,3.0266666666666664,1442.2
1,1,0,0,1,49,0,1,0,1,1,1,0,0,1,0,1,1,84.35,2.8116666666666665,4059.35
0,0,0,0,1,71,1,2,0,0,0,1,0,0,1,2,1,3,58.25,1.9416666666666667,4145.9
0,0,0,1,1,33,0,1,1,0,0,1,1,0,1,1,1,1,107.55,3.585,3645.5
0,0,0,0,1,10,0,0,2,2,2,2,2,2,2,1,0,3,19.95,0.6649999999999999,187.75
1,1,0,0,1,21,0,1,1,0,0,1,0,0,1,1,0,1,111.2,3.7066666666666666,2317.1
1,1,0,0,0,37,1,2,0,1,0,1,1,1,0,1,1,3,40.2,1.34,1448.8
0,0,1,1,1,26,0,0,1,1,1,0,1,0,0,1,0,2,85.8,2.86,2193.65
0,1,0,1,1,50,1,2,0,1,1,0,0,1,0,0,0,0,35.4,1.18,1748.9
1,0,0,1,1,7,0,1,1,0,1,0,1,1,0,1,0,1,73.85,2.4616666666666664,511.25
0,0,0,0,0,61,0,1,0,1,0,1,0,0,1,2,1,0,88.1,2.9366666666666665,5526.75
1,1,0,1,1,15,0,0,1,0,1,1,0,0,1,1,0,1,101.35,3.378333333333333,1553.95
0,0,0,1,0,26,1,2,0,1,1,0,0,1,1,1,1,0,45.8,1.5266666666666666,1147.0
0,1,0,0,1,72,0,0,1,0,1,1,1,0,1,1,0,1,94.65,3.1550000000000002,6747.35
0,1,0,0,0,44,0,0,2,2,2,2,2,2,2,0,0,3,20.5,0.6833333333333333,865.05
0,1,0,1,1,66,0,1,1,0,0,0,1,1,1,1,1,2,89.4,2.98,5976.9
1,0,0,1,1,2,0,0,1,1,0,0,0,1,0,1,0,1,86.25,2.875,181.65
0,0,1,1,1,44,0,0,0,0,1,1,0,0,1,0,1,3,74.85,2.4949999999999997,3268.05
1,0,0,1,1,12,0,1,1,0,0,0,1,0,0,1,0,3,89.75,2.9916666666666667,1052.4
0,1,1,0,1,69,0,1,1,0,0,1,0,0,1,2,0,1,109.95,3.665,7634.25
1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,80.2,2.6733333333333333,80.2
1,0,0,1,1,3,0,0,2,2,2,2,2,2,2,1,1,0,19.85,0.6616666666666667,63.75
0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,1,1,1,90.35,3.0116666666666663,190.5
0,0,1,1,1,27,0,1,1,0,0,1,1,1,0,1,0,3,86.45,2.881666666666667,2401.05
0,1,0,1,1,26,0,0,2,2,2,2,2,2,2,1,0,1,20.3,0.6766666666666666,511.25
0,0,1,0,1,39,0,1,1,0,1,0,0,0,1,1,0,1,101.25,3.375,3949.15
1,1,0,1,1,25,0,1,1,0,1,0,1,0,1,1,0,3,94.7,3.1566666666666667,2362.1
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,70.9,2.3633333333333337,70.9
1,1,0,0,1,22,0,0,0,1,1,0,0,1,0,1,0,1,54.2,1.8066666666666669,1152.7
0,0,0,1,1,72,0,1,1,1,0,1,0,0,1,2,0,1,114.9,3.83,8496.7
0,0,0,1,1,24,0,0,2,2,2,2,2,2,2,2,0,3,19.55,0.6516666666666667,470.2
0,0,0,0,1,19,0,1,1,0,1,0,1,0,0,1,0,1,86.85,2.895,1564.4
0,1,0,0,0,71,0,1,2,2,2,2,2,2,2,2,1,2,25.35,0.8450000000000001,1847.55
0,1,1,0,1,33,0,1,1,1,1,1,0,0,1,1,0,3,109.9,3.6633333333333336,3694.7
0,0,0,1,1,3,0,0,2,2,2,2,2,2,2,1,1,0,19.95,0.6649999999999999,58.0
0,1,0,0,0,47,0,1,1,0,0,0,1,0,0,1,1,1,87.2,2.9066666666666667,4017.45
0,1,0,0,0,62,0,0,1,1,0,1,0,0,1,2,1,0,108.15,3.605,6825.65
0,1,0,1,1,71,0,1,1,1,0,1,0,0,1,0,0,3,116.3,3.8766666666666665,8309.55
0,1,1,0,1,7,0,0,1,0,1,0,1,0,1,1,0,1,89.0,2.966666666666667,605.45
0,0,0,0,0,27,0,0,1,1,1,0,1,1,0,1,1,0,74.4,2.48,1972.35
0,1,0,1,1,2,0,0,2,2,2,2,2,2,2,1,1,0,20.05,0.6683333333333333,33.7
0,0,0,1,0,25,1,2,0,1,1,0,0,1,0,2,1,3,35.05,1.1683333333333332,844.45
0,1,1,1,1,30,0,0,0,1,0,0,1,0,1,1,0,1,74.75,2.4916666666666667,2111.3
1,0,1,0,1,58,0,0,1,1,0,0,0,0,1,0,0,2,105.5,3.5166666666666666,6205.5
1,1,0,0,1,10,0,1,1,0,1,0,1,1,1,1,0,1,85.25,2.841666666666667,855.3
0,0,0,1,1,9,0,1,1,0,1,0,1,1,0,1,0,2,75.2,2.506666666666667,633.85
1,0,1,0,1,6,0,1,1,0,1,0,1,1,1,1,0,1,84.35,2.8116666666666665,474.9
0,0,0,0,0,69,0,1,1,1,1,1,1,1,0,0,1,3,84.45,2.815,5848.6
0,0,1,1,1,66,0,1,1,1,1,0,1,0,1,2,0,3,102.4,3.4133333333333336,6471.85
1,0,0,1,1,70,0,1,1,1,0,1,0,0,1,0,1,2,115.55,3.8516666666666666,8127.6
1,1,0,1,1,25,0,1,2,2,2,2,2,2,2,0,1,3,25.3,0.8433333333333334,676.35
0,0,0,0,0,46,0,0,2,2,2,2,2,2,2,2,0,0,19.25,0.6416666666666667,864.2
0,0,0,0,1,54,0,1,1,1,0,1,0,0,1,0,0,0,114.65,3.8216666666666668,6049.5
1,0,0,1,1,15,0,0,1,1,1,1,0,0,1,1,1,1,105.1,3.503333333333333,1582.75
0,0,0,0,0,12,0,0,2,2,2,2,2,2,2,1,1,3,19.4,0.6466666666666666,198.1
0,0,0,1,1,22,1,2,0,0,0,0,1,0,1,1,0,1,50.35,1.6783333333333335,1098.85
0,0,0,0,1,70,1,2,0,0,0,1,0,0,1,2,1,3,57.8,1.9266666666666665,4039.3
0,1,0,1,1,30,0,0,1,1,0,1,1,1,0,1,0,2,84.3,2.81,2438.6
0,1,0,0,0,71,0,1,1,0,0,0,1,0,1,0,1,3,100.55,3.3516666666666666,7113.75
0,1,0,0,1,30,0,0,2,2,2,2,2,2,2,0,1,2,19.8,0.66,576.65
1,1,0,0,0,4,0,1,1,0,0,1,1,1,0,1,0,3,84.8,2.8266666666666667,371.9
1,1,0,1,1,2,0,0,1,0,1,1,1,1,1,1,0,1,85.85,2.8616666666666664,167.3
0,1,0,1,0,10,0,0,2,2,2,2,2,2,2,0,0,3,19.95,0.6649999999999999,219.5
0,1,1,1,1,4,0,0,1,1,1,0,1,1,0,1,1,1,75.35,2.5116666666666663,273.4
0,1,1,1,1,52,1,2,0,1,1,0,1,0,1,1,0,2,48.8,1.6266666666666665,2555.05
1,1,0,1,1,5,0,1,0,0,1,0,1,1,0,1,1,1,47.15,1.5716666666666665,223.15
0,1,0,0,0,8,0,0,2,2,2,2,2,2,2,2,1,0,20.15,0.6716666666666666,165.5
0,0,1,1,1,2,0,0,0,0,1,0,1,1,0,1,0,1,44.3,1.4766666666666666,89.3
0,1,0,1,1,3,0,0,1,0,0,0,1,1,1,1,1,1,84.3,2.81,235.05
0,1,0,1,1,19,0,1,0,0,1,1,0,1,0,1,1,1,59.55,1.9849999999999999,1144.6
0,1,0,1,1,72,0,1,0,1,0,1,0,1,0,2,1,3,69.65,2.3216666666666668,4908.25
0,1,1,0,1,63,1,2,0,1,1,0,0,1,0,0,1,3,36.1,1.2033333333333334,2298.9
0,1,0,0,1,66,1,2,0,1,0,1,0,0,0,2,0,3,56.6,1.8866666666666667,3789.2
1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,75.9,2.5300000000000002,75.9
0,0,0,1,1,60,0,1,1,0,1,1,1,1,0,0,0,3,79.2,2.64,4765.0
0,0,0,0,0,48,1,2,0,1,1,1,1,1,1,0,1,2,45.0,1.5,2196.3
1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,2,85.55,2.8516666666666666,85.55
1,1,0,1,1,15,0,1,1,0,1,0,1,0,1,1,0,1,93.35,3.1116666666666664,1444.65
0,0,0,0,1,50,0,1,1,1,0,0,0,0,1,1,0,3,109.65,3.6550000000000002,5405.8
0,1,0,0,0,72,0,1,0,1,0,1,0,0,1,2,1,2,89.7,2.99,6339.3
0,0,0,1,1,46,0,1,1,1,0,0,1,1,0,1,1,0,84.25,2.808333333333333,3847.6
0,0,0,0,0,72,0,1,0,1,0,1,0,0,1,2,1,3,92.65,3.0883333333333334,6733.0
0,1,0,0,0,1,0,0,2,2,2,2,2,2,2,1,1,0,19.7,0.6566666666666666,19.7
0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,50.1,1.6700000000000002,50.1
0,0,1,1,1,67,0,0,1,1,0,0,0,0,0,2,0,3,92.45,3.0816666666666666,6140.85
0,0,0,0,0,48,0,1,0,0,0,0,0,0,1,2,1,1,79.65,2.6550000000000002,3870.3
0,0,0,1,1,72,0,0,1,1,0,1,0,0,1,2,0,1,109.9,3.6633333333333336,7624.2
0,1,0,0,1,52,0,1,0,1,0,1,0,1,1,0,0,2,81.4,2.7133333333333334,4354.45
0,0,0,0,0,67,0,0,0,0,0,0,1,1,0,0,1,2,50.55,1.6849999999999998,3431.75
1,0,0,0,0,28,0,0,1,0,1,0,1,1,1,1,0,1,81.05,2.7016666666666667,2227.1
0,0,0,0,0,32,0,1,0,0,0,1,1,1,0,1,1,3,62.45,2.0816666666666666,2045.55
1,0,1,0,1,27,0,0,1,1,1,0,1,1,0,1,0,3,75.2,2.506666666666667,1929.35
0,1,0,1,1,3,0,0,1,0,0,1,1,1,1,1,1,1,90.4,3.0133333333333336,268.45
1,1,0,1,1,2,0,1,1,0,1,0,1,0,0,1,0,1,85.65,2.855,181.5
1,0,0,1,0,9,0,0,0,0,1,1,0,0,1,1,0,0,72.9,2.43,651.4
0,1,0,0,0,50,0,1,0,1,1,0,0,0,0,2,0,2,70.5,2.35,3486.65
0,0,0,0,0,71,0,0,2,2,2,2,2,2,2,2,1,3,20.1,0.67,1389.6
1,1,1,0,1,32,0,1,1,0,1,0,1,1,0,1,0,1,74.9,2.496666666666667,2303.35
0,0,0,0,0,16,0,0,1,1,1,1,1,0,1,1,1,3,100.7,3.356666666666667,1522.7
0,0,0,0,0,67,0,1,1,0,1,1,0,0,1,2,0,3,105.65,3.521666666666667,6717.9
0,1,0,0,0,72,0,1,1,1,0,1,0,0,1,2,0,2,114.3,3.81,8058.55
1,0,0,1,1,3,0,0,2,2,2,2,2,2,2,1,1,1,19.75,0.6583333333333333,58.85
0,1,0,0,0,23,0,1,2,2,2,2,2,2,2,0,1,0,24.35,0.8116666666666668,538.5
0,1,0,0,0,72,0,1,0,1,0,1,0,1,0,2,1,3,69.85,2.328333333333333,5102.35
0,1,0,0,0,7,1,2,0,1,0,1,1,0,1,1,1,0,58.85,1.9616666666666667,465.7
0,1,0,0,0,8,0,0,0,0,1,0,1,0,0,1,0,1,54.4,1.8133333333333332,475.1
0,1,0,0,0,66,1,2,0,0,1,0,0,0,1,2,1,3,50.55,1.6849999999999998,3364.55
1,1,0,1,1,5,0,0,2,2,2,2,2,2,2,1,1,0,21.05,0.7016666666666667,113.85
1,1,0,1,1,49,0,1,1,0,0,1,1,0,1,1,0,3,103.7,3.4566666666666666,5036.3
0,1,0,0,1,63,0,0,2,2,2,2,2,2,2,2,0,3,19.95,0.6649999999999999,1234.8
0,0,1,0,0,12,1,2,0,0,1,0,0,1,0,1,0,0,29.3,0.9766666666666667,355.9
0,1,0,0,0,27,0,0,0,1,0,0,1,1,0,1,0,2,54.75,1.825,1510.3
0,0,0,1,1,35,0,0,0,1,0,1,1,1,0,1,1,1,60.55,2.018333333333333,1982.6
0,0,0,0,0,54,0,1,0,0,0,1,0,0,1,1,0,1,86.2,2.8733333333333335,4524.05
1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,95.45,3.1816666666666666,95.45
0,1,0,1,1,5,0,0,0,0,1,1,0,0,0,1,0,2,63.95,2.131666666666667,318.1
0,1,0,1,1,19,0,0,0,0,0,0,0,1,1,0,0,3,65.35,2.1783333333333332,1231.85
0,1,0,0,0,52,1,2,0,0,0,1,0,0,0,2,1,0,50.2,1.6733333333333333,2554.0
0,0,0,0,0,72,1,2,0,1,0,1,0,0,1,2,0,3,63.8,2.1266666666666665,4684.3
0,1,0,1,1,32,0,0,2,2,2,2,2,2,2,2,0,3,20.05,0.6683333333333333,614.45
1,0,0,0,1,8,0,0,1,0,0,1,1,0,1,1,1,1,101.15,3.371666666666667,842.9
0,1,0,1,1,41,0,1,0,0,1,1,1,1,1,0,1,0,65.0,2.1666666666666665,2531.8
0,1,0,1,1,5,0,0,2,2,2,2,2,2,2,1,0,0,19.25,0.6416666666666667,86.05
0,0,0,1,0,11,1,2,0,1,1,0,0,1,0,0,0,0,36.05,1.2016666666666667,402.6
1,1,0,1,1,5,0,0,1,0,1,0,0,0,1,1,0,1,96.1,3.203333333333333,453.4
0,0,0,1,1,16,0,0,2,2,2,2,2,2,2,0,1,0,19.05,0.635,326.65
0,1,1,1,1,71,0,1,1,0,0,0,0,0,1,0,1,3,105.75,3.525,7382.85
0,0,0,1,1,11,1,2,0,0,0,1,0,1,0,0,0,2,40.4,1.3466666666666667,422.6
1,0,0,0,0,61,0,1,1,0,0,0,1,0,1,1,0,1,99.15,3.305,6010.05
0,0,0,0,1,71,0,0,0,1,0,1,0,0,1,0,0,3,84.8,2.8266666666666667,6046.1
0,1,0,1,1,9,0,0,2,2,2,2,2,2,2,1,1,0,19.85,0.6616666666666667,178.8
0,0,0,1,1,6,0,0,0,1,1,0,1,1,0,1,0,1,49.45,1.6483333333333334,314.6
1,0,0,1,1,26,0,0,1,0,1,0,1,0,1,1,0,3,88.8,2.96,2274.35
0,0,0,1,1,6,0,0,0,1,0,0,1,1,0,1,1,0,55.15,1.8383333333333334,322.9
0,1,0,1,1,11,0,0,1,0,1,1,1,1,1,1,1,1,84.8,2.8266666666666667,888.75
1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,80.55,2.685,80.55
0,0,0,0,1,49,0,0,2,2,2,2,2,2,2,2,0,3,20.15,0.6716666666666666,973.35
0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,2,58.7,1.9566666666666668,168.6
0,0,0,1,1,53,0,0,1,1,0,1,0,1,1,2,1,0,99.5,3.316666666666667,5424.25
1,1,0,0,0,23,0,0,1,1,1,0,0,0,1,1,0,1,99.85,3.328333333333333,2331.3
1,1,0,1,1,2,0,0,0,0,1,0,1,1,0,1,1,1,45.35,1.5116666666666667,89.5
1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,48.55,1.6183333333333332,48.55
0,1,0,1,0,3,0,1,2,2,2,2,2,2,2,2,0,0,26.4,0.88,121.25
1,0,1,0,1,68,0,1,1,0,0,0,1,0,1,1,0,1,100.2,3.3400000000000003,6851.65
1,1,0,1,1,8,0,0,1,0,1,1,1,0,1,1,0,1,94.7,3.1566666666666667,740.3
0,0,0,0,1,70,0,1,1,0,1,1,1,0,1,0,0,1,97.65,3.2550000000000003,6982.5
0,1,0,0,0,39,0,1,1,0,1,1,1,0,1,0,1,1,100.0,3.3333333333333335,3835.55
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,70.1,2.3366666666666664,70.1
1,0,0,1,1,3,0,0,1,0,0,0,0,0,1,1,0,1,97.9,3.2633333333333336,315.3
0,1,0,0,1,60,0,1,1,0,0,1,1,0,1,0,1,3,102.5,3.4166666666666665,6157.6
1,0,0,0,1,5,0,0,1,0,1,0,1,1,0,1,1,1,69.95,2.3316666666666666,330.15
1,1,1,1,1,3,0,1,1,0,0,0,1,1,0,1,0,1,81.35,2.7116666666666664,233.7
0,0,0,0,1,55,0,1,0,1,0,0,0,1,0,0,0,2,66.05,2.2016666666666667,3462.1
0,1,0,1,1,72,1,2,0,1,1,1,0,0,1,2,0,2,61.2,2.04,4390.25
0,1,1,0,1,72,0,0,0,1,0,1,0,0,0,2,1,3,74.4,2.48,5360.75
1,0,0,1,1,41,0,1,1,0,0,1,1,0,1,1,0,1,106.3,3.5433333333333334,4443.45
0,1,0,1,1,60,1,2,0,1,0,1,1,1,0,2,1,3,39.6,1.32,2424.5
1,0,0,1,1,6,0,0,1,0,1,0,1,0,1,1,1,1,89.3,2.9766666666666666,577.6
0,0,0,0,1,46,0,1,1,0,0,1,0,0,1,2,0,2,108.9,3.6300000000000003,4854.3
0,0,0,1,1,15,0,0,2,2,2,2,2,2,2,1,1,0,19.9,0.6633333333333333,320.45
1,0,0,0,1,58,0,1,1,0,1,1,0,0,1,1,0,2,102.1,3.4033333333333333,5885.4
0,1,0,0,0,23,0,0,2,2,2,2,2,2,2,2,1,2,19.6,0.6533333333333334,426.65
1,0,1,0,0,31,0,0,1,0,1,1,0,0,1,1,0,1,98.9,3.296666666666667,2911.3
0,1,0,0,1,11,0,0,0,0,1,0,1,1,0,1,0,3,45.9,1.53,521.9
0,0,1,1,1,56,0,1,1,0,0,1,0,0,0,2,0,3,99.9,3.33,5706.3
0,0,0,1,0,25,0,0,2,2,2,2,2,2,2,1,1,2,20.05,0.6683333333333333,471.7
0,0,0,1,1,68,1,2,0,1,0,1,0,0,1,2,1,2,64.35,2.145,4539.6
0,0,0,1,1,40,0,0,2,2,2,2,2,2,2,2,1,2,19.65,0.6549999999999999,830.25
1,1,0,1,1,36,0,1,1,0,1,0,1,1,1,1,0,1,84.9,2.83,3067.2
1,1,0,1,1,32,0,1,1,1,0,0,0,0,1,1,0,2,108.15,3.605,3432.9
0,1,0,0,0,71,0,1,0,1,0,1,0,0,1,2,1,3,86.85,2.895,6263.8
0,1,0,0,1,17,0,1,1,0,0,1,1,0,1,1,0,1,102.55,3.4183333333333334,1742.5
0,1,0,0,1,18,0,0,1,0,1,1,0,1,0,1,1,1,78.2,2.606666666666667,1468.75
0,0,0,1,1,37,0,1,1,1,0,1,1,1,0,1,1,3,91.2,3.04,3382.3
0,1,0,1,1,2,0,0,2,2,2,2,2,2,2,1,1,0,19.35,0.645,46.35
0,0,0,0,0,28,0,0,1,0,1,0,1,1,0,0,0,3,70.4,2.3466666666666667,1992.2
0,1,0,1,1,9,1,2,0,1,0,1,1,1,0,0,1,0,39.55,1.3183333333333331,373.0
0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,50.15,1.6716666666666666,50.15
0,1,0,0,1,65,0,0,2,2,2,2,2,2,2,2,0,2,20.4,0.6799999999999999,1414.45
0,0,0,1,1,3,0,0,0,0,1,0,1,1,0,1,1,1,44.6,1.4866666666666668,122.7
1,0,0,1,1,1,1,2,0,0,1,0,1,0,0,1,0,1,34.7,1.1566666666666667,34.7
0,1,0,0,1,36,0,0,1,1,1,0,1,0,1,1,0,1,93.6,3.1199999999999997,3366.05
1,1,0,1,1,23,0,1,1,0,1,0,0,0,0,1,0,1,90.6,3.02,1943.2
0,1,0,0,0,22,0,0,0,1,0,0,0,1,0,1,0,0,57.95,1.9316666666666669,1271.8
0,0,0,0,1,72,0,1,1,1,0,1,0,0,1,2,1,2,112.1,3.7366666666666664,7965.95
1,0,0,0,0,17,0,1,1,0,1,1,1,0,0,1,1,1,88.25,2.941666666666667,1460.65
1,0,0,1,1,3,0,0,1,0,1,0,0,1,1,1,1,1,85.8,2.86,272.2
1,1,0,0,1,58,0,0,0,1,0,1,1,1,0,0,1,2,60.3,2.01,3563.8
0,1,0,0,0,67,0,0,0,1,0,1,1,0,1,2,1,2,81.35,2.7116666666666664,5398.6
0,1,1,1,1,34,0,0,1,0,0,1,1,0,1,0,0,1,99.85,3.328333333333333,3343.15
0,1,0,1,1,10,0,0,2,2,2,2,2,2,2,1,1,2,20.0,0.6666666666666666,198.7
0,0,0,1,1,69,0,1,0,1,1,1,0,0,1,2,0,2,85.35,2.8449999999999998,5897.4
0,1,0,1,1,40,1,2,0,1,0,1,1,0,1,0,1,2,62.05,2.0683333333333334,2511.55
